Date;hour;Spot DE.AT_price;day
20150129;17;32.45;5
20150129;18;41.35;5
20150129;19;39.73;5
20150129;20;39;5
20150129;21;33.41;5
20150129;22;29.09;5
20150129;23;28.74;5
20150129;24;25.4;5
20150130;1;26.6;6
20150130;2;25.61;6
20150130;3;26.42;6
20150130;4;24.74;6
20150130;5;23.89;6
20150130;6;26.07;6
20150130;7;36.41;6
20150130;8;48.76;6
20150130;9;49.19;6
20150130;10;46.35;6
20150130;11;49.51;6
20150130;12;47.47;6
20150130;13;46;6
20150130;14;44.95;6
20150130;15;43.24;6
20150130;16;43.71;6
20150130;17;44;6
20150130;18;46.69;6
20150130;19;48.26;6
20150130;20;43.11;6
20150130;21;40.04;6
20150130;22;30.17;6
20150130;23;29.5;6
20150130;24;27.01;6
20150131;1;27.92;7
20150131;2;26.5;7
20150131;3;26.4;7
20150131;4;25.75;7
20150131;5;24.95;7
20150131;6;25.13;7
20150131;7;24.98;7
20150131;8;26.55;7
20150131;9;28.36;7
20150131;10;29.51;7
20150131;11;29.91;7
20150131;12;28.79;7
20150131;13;28.41;7
20150131;14;28.23;7
20150131;15;28.19;7
20150131;16;29.17;7
20150131;17;32.12;7
20150131;18;42.99;7
20150131;19;44.31;7
20150131;20;42.15;7
20150131;21;32.83;7
20150131;22;28.34;7
20150131;23;28.5;7
20150131;24;25.56;7
20150201;1;27.04;1
20150201;2;26.32;1
20150201;3;25.98;1
20150201;4;25.63;1
20150201;5;25.78;1
20150201;6;25.99;1
20150201;7;24.26;1
20150201;8;26.48;1
20150201;9;27.84;1
20150201;10;29.09;1
20150201;11;34.15;1
20150201;12;37.74;1
20150201;13;34.95;1
20150201;14;28.24;1
20150201;15;28.21;1
20150201;16;28.47;1
20150201;17;29.89;1
20150201;18;36.85;1
20150201;19;36.55;1
20150201;20;29.99;1
20150201;21;28.59;1
20150201;22;28.36;1
20150201;23;28.18;1
20150201;24;26.92;1
20150202;1;27.23;2
20150202;2;26.38;2
20150202;3;26.19;2
20150202;4;26.21;2
20150202;5;26.24;2
20150202;6;27.47;2
20150202;7;37.85;2
20150202;8;53.35;2
20150202;9;53.13;2
20150202;10;54.92;2
20150202;11;51.35;2
20150202;12;50.96;2
20150202;13;45;2
20150202;14;44.04;2
20150202;15;44.98;2
20150202;16;45.74;2
20150202;17;47.99;2
20150202;18;58.95;2
20150202;19;54.92;2
20150202;20;51.45;2
20150202;21;45;2
20150202;22;43.05;2
20150202;23;40;2
20150202;24;34.68;2
20150203;1;29.46;3
20150203;2;28.84;3
20150203;3;28.05;3
20150203;4;28.08;3
20150203;5;28.21;3
20150203;6;30.08;3
20150203;7;40;3
20150203;8;60.43;3
20150203;9;60.08;3
20150203;10;58.79;3
20150203;11;55.77;3
20150203;12;53.37;3
20150203;13;46.2;3
20150203;14;48.76;3
20150203;15;47.85;3
20150203;16;51.7;3
20150203;17;51.54;3
20150203;18;60.07;3
20150203;19;65.52;3
20150203;20;52.89;3
20150203;21;47.99;3
20150203;22;44.25;3
20150203;23;43.93;3
20150203;24;30.87;3
20150204;1;34.9;4
20150204;2;31.14;4
20150204;3;30.08;4
20150204;4;30.06;4
20150204;5;30.49;4
20150204;6;33.55;4
20150204;7;42.64;4
20150204;8;50.92;4
20150204;9;61.76;4
20150204;10;62.59;4
20150204;11;61.1;4
20150204;12;58.94;4
20150204;13;54.87;4
20150204;14;53.53;4
20150204;15;51.45;4
20150204;16;49.88;4
20150204;17;49.92;4
20150204;18;59.37;4
20150204;19;75.87;4
20150204;20;62.73;4
20150204;21;49.89;4
20150204;22;42.66;4
20150204;23;44.04;4
20150204;24;36.41;4
20150205;1;39.96;5
20150205;2;33.29;5
20150205;3;32.24;5
20150205;4;32.44;5
20150205;5;32.92;5
20150205;6;38.91;5
20150205;7;45.96;5
20150205;8;63.79;5
20150205;9;62.06;5
20150205;10;60.28;5
20150205;11;52.03;5
20150205;12;49.96;5
20150205;13;50.52;5
20150205;14;47.44;5
20150205;15;44.5;5
20150205;16;43.54;5
20150205;17;44.04;5
20150205;18;50.75;5
20150205;19;48.13;5
20150205;20;44.94;5
20150205;21;41.89;5
20150205;22;37.9;5
20150205;23;30.45;5
20150205;24;29.01;5
20150206;1;28.73;6
20150206;2;28.14;6
20150206;3;27.75;6
20150206;4;27.73;6
20150206;5;28.23;6
20150206;6;29.05;6
20150206;7;36;6
20150206;8;52.92;6
20150206;9;46.9;6
20150206;10;45.94;6
20150206;11;45.93;6
20150206;12;42.93;6
20150206;13;39.65;6
20150206;14;37.1;6
20150206;15;35.54;6
20150206;16;38.57;6
20150206;17;42.95;6
20150206;18;50.19;6
20150206;19;54.95;6
20150206;20;50.24;6
20150206;21;45;6
20150206;22;40.33;6
20150206;23;39.37;6
20150206;24;29.01;6
20150207;1;28.46;7
20150207;2;28;7
20150207;3;27.29;7
20150207;4;26.28;7
20150207;5;26.08;7
20150207;6;25.91;7
20150207;7;25.53;7
20150207;8;27.79;7
20150207;9;32.03;7
20150207;10;42.1;7
20150207;11;37.96;7
20150207;12;33.75;7
20150207;13;29.99;7
20150207;14;26.56;7
20150207;15;25.36;7
20150207;16;24.76;7
20150207;17;25.16;7
20150207;18;29.15;7
20150207;19;35.81;7
20150207;20;26.83;7
20150207;21;22.31;7
20150207;22;15.01;7
20150207;23;14.25;7
20150207;24;9.56;7
20150208;1;-5;1
20150208;2;-1.12;1
20150208;3;-4.78;1
20150208;4;-2.4;1
20150208;5;-7.32;1
20150208;6;-0.9;1
20150208;7;-9.95;1
20150208;8;-8.51;1
20150208;9;4.86;1
20150208;10;11.6;1
20150208;11;15.01;1
20150208;12;15.05;1
20150208;13;12.21;1
20150208;14;10.6;1
20150208;15;15.1;1
20150208;16;19.94;1
20150208;17;26.66;1
20150208;18;33.41;1
20150208;19;39.55;1
20150208;20;36.35;1
20150208;21;28.12;1
20150208;22;26.93;1
20150208;23;26.35;1
20150208;24;16.84;1
20150209;1;16.42;2
20150209;2;14.95;2
20150209;3;11.5;2
20150209;4;13.86;2
20150209;5;9.81;2
20150209;6;9.88;2
20150209;7;22.28;2
20150209;8;29.17;2
20150209;9;29.96;2
20150209;10;30;2
20150209;11;30;2
20150209;12;30.06;2
20150209;13;31.21;2
20150209;14;30.96;2
20150209;15;30.69;2
20150209;16;32.81;2
20150209;17;32.3;2
20150209;18;37.66;2
20150209;19;43.93;2
20150209;20;44.57;2
20150209;21;39.91;2
20150209;22;32.84;2
20150209;23;29.43;2
20150209;24;27.12;2
20150210;1;25.36;3
20150210;2;25.32;3
20150210;3;25.19;3
20150210;4;25.57;3
20150210;5;26.02;3
20150210;6;27.75;3
20150210;7;38.22;3
20150210;8;52.95;3
20150210;9;49;3
20150210;10;45.97;3
20150210;11;47.97;3
20150210;12;49.97;3
20150210;13;47.27;3
20150210;14;46.95;3
20150210;15;46;3
20150210;16;47;3
20150210;17;50.38;3
20150210;18;61.41;3
20150210;19;84.94;3
20150210;20;62.82;3
20150210;21;51.66;3
20150210;22;44.09;3
20150210;23;44.54;3
20150210;24;33.95;3
20150211;1;30.57;4
20150211;2;30.67;4
20150211;3;30.52;4
20150211;4;30.62;4
20150211;5;31.39;4
20150211;6;33.1;4
20150211;7;45.97;4
20150211;8;60.14;4
20150211;9;64.91;4
20150211;10;59.91;4
20150211;11;54.22;4
20150211;12;53.85;4
20150211;13;49.06;4
20150211;14;48.82;4
20150211;15;47.93;4
20150211;16;49.8;4
20150211;17;50.86;4
20150211;18;58.48;4
20150211;19;81.37;4
20150211;20;65.22;4
20150211;21;55.62;4
20150211;22;46;4
20150211;23;47.94;4
20150211;24;32.81;4
20150212;1;36.63;5
20150212;2;34.25;5
20150212;3;31.67;5
20150212;4;32.03;5
20150212;5;32.35;5
20150212;6;36.2;5
20150212;7;49.95;5
20150212;8;63.36;5
20150212;9;70.6;5
20150212;10;60.81;5
20150212;11;53.81;5
20150212;12;49.96;5
20150212;13;44.91;5
20150212;14;43.9;5
20150212;15;43.94;5
20150212;16;45.47;5
20150212;17;49.96;5
20150212;18;57.58;5
20150212;19;72;5
20150212;20;69.94;5
20150212;21;54.98;5
20150212;22;46.72;5
20150212;23;43.29;5
20150212;24;36.91;5
20150213;1;31.03;6
20150213;2;31.1;6
20150213;3;31.04;6
20150213;4;31.02;6
20150213;5;31.88;6
20150213;6;33;6
20150213;7;45.42;6
20150213;8;58.25;6
20150213;9;57.84;6
20150213;10;50.81;6
20150213;11;45.49;6
20150213;12;42.97;6
20150213;13;38.05;6
20150213;14;33.45;6
20150213;15;32.06;6
20150213;16;38.04;6
20150213;17;43.2;6
20150213;18;45.75;6
20150213;19;46.31;6
20150213;20;41.71;6
20150213;21;31.81;6
20150213;22;29.05;6
20150213;23;30.43;6
20150213;24;29.09;6
20150214;1;28.81;7
20150214;2;30.05;7
20150214;3;28.02;7
20150214;4;27.67;7
20150214;5;27.68;7
20150214;6;29.28;7
20150214;7;27.55;7
20150214;8;26.95;7
20150214;9;31.17;7
20150214;10;33.27;7
20150214;11;34.11;7
20150214;12;32.17;7
20150214;13;31.06;7
20150214;14;31.01;7
20150214;15;31.59;7
20150214;16;35.9;7
20150214;17;36.35;7
20150214;18;40.69;7
20150214;19;44.98;7
20150214;20;40.13;7
